TeamName,Seed,R32_Prob,Sweet16_Prob,Elite8_Prob,Final4_Prob,Champ_Prob,Analysis
Miami (OHIO),11,0.4055,0.1687,0.042,0.0113,0.0005,(11) Miami (OHIO) advances to the Sweet 16 in 16.9% of simulations. Round 1 matchup: (11) Miami (OHIO) vs (6) Tennessee. Four-factor comparison — eFG: 57.6% vs 52.4%; TOV%: 13.6 vs 15.9; ORB%: 42.8% vs 62.7%; FTR: 0.411 vs 0.398. Key matchup edges: shooting edge: Miami (OHIO) eFG 57.6% vs Tennessee 52.4% (+5.2pp).
Virginia Commonwealth,11,0.4517,0.1018,0.0369,0.0098,0.0002,(11) Virginia Commonwealth advances to the Sweet 16 in 10.2% of simulations. Round 1 matchup: (11) Virginia Commonwealth vs (6) North Carolina. Four-factor comparison — eFG: 54.7% vs 53.3%; TOV%: 14.3 vs 13.5; ORB%: 52.6% vs 49.6%; FTR: 0.443 vs 0.380. Key matchup edges: gets to the line more often (FTR 0.443 vs North Carolina 0.380).
Texas A&M,10,0.3828,0.101,0.0198,0.0045,0.0,(10) Texas A&M advances to the Sweet 16 in 10.1% of simulations. Round 1 matchup: (10) Texas A&M vs (7) Saint Mary's (CA). Four-factor comparison — eFG: 54.3% vs 53.8%; TOV%: 13.7 vs 15.4; ORB%: 49.6% vs 61.6%; FTR: 0.378 vs 0.366. No dominant single edge; model's composite four-factor profile favors Texas A&M on balance.
Akron,12,0.3101,0.078,0.0105,0.002,0.0,(12) Akron advances to the Sweet 16 in 7.8% of simulations. Round 1 matchup: (12) Akron vs (5) Texas Tech. Four-factor comparison — eFG: 57.1% vs 57.8%; TOV%: 14.6 vs 14.9; ORB%: 52.7% vs 50.3%; FTR: 0.295 vs 0.276. No dominant single edge; model's composite four-factor profile favors Akron on balance.
South Florida,11,0.2915,0.0765,0.0185,0.0015,0.0,"(11) South Florida advances to the Sweet 16 in 7.6% of simulations. Round 1 matchup: (11) South Florida vs (6) Louisville. Four-factor comparison — eFG: 52.2% vs 57.7%; TOV%: 14.2 vs 15.7; ORB%: 56.0% vs 53.2%; FTR: 0.424 vs 0.341. Key matchup edges: Louisville has a shooting edge (57.7% vs 52.2%), but South Florida counters through other factors; gets to the line more often (FTR 0.424 vs Louisville 0.341)."
